"Instituto Nacional de Estadística y Geografía",
"Consulta en línea de los precios promedio del INPC ",
"Publicados en el diario oficial de la Federación mensualmente ",
"Fecha de consulta: 12/07/2023 19:37:14",

"Año","Mes","Fecha_Pub_DOF","Clave ciudad","Nombre ciudad","División","Grupo","Clase","Subclase","Clave genérico","Genérico","Consecutivo","Especificación","Precio promedio","Cantidad","Unidad","Estatus"
"2018","07","17/08/2018 12:00:00 a. m.","01","Área Met. de la Cd. de México"," 3. Vivienda"," 3.1. Costo de uso de vivienda"," 3.1.1. Costo de uso de vivienda"," 41 Vivienda alquilada","158","Renta de vivienda","001"," PRECIO PROMEDIO DE LA MUESTRA","5103.29","1","RENTA",""
"2018","07","17/08/2018 12:00:00 a. m.","01","Área Met. de la Cd. de México"," 3. Vivienda"," 3.1. Costo de uso de vivienda"," 3.1.1. Costo de uso de vivienda"," 41 Vivienda alquilada","158","Renta de vivienda","002"," PRECIO PROMEDIO DE LA MUESTRA","5103.29","1","RENTA",""
"2018","07","17/08/2018 12:00:00 a. m.","01","Área Met. de la Cd. de México"," 3. Vivienda"," 3.1. Costo de uso de vivienda"," 3.1.1. Costo de uso de vivienda"," 41 Vivienda alquilada","158","Renta de vivienda","003"," PRECIO PROMEDIO DE LA MUESTRA","5103.29","1","RENTA",""
"2018","07","17/08/2018 12:00:00 a. m.","01","Área Met. de la Cd. de México"," 3. Vivienda"," 3.1. Costo de uso de vivienda"," 3.1.1. Costo de uso de vivienda"," 41 Vivienda alquilada","158","Renta de vivienda","004"," PRECIO PROMEDIO DE LA MUESTRA","5103.29","1","RENTA",""
"2018","07","17/08/2018 12:00:00 a. m.","01","Área Met. de la Cd. de México"," 3. Vivienda"," 3.1. Costo de uso de vivienda"," 3.1.1. Costo de uso de vivienda"," 41 Vivienda alquilada","158","Renta de vivienda","005"," PRECIO PROMEDIO DE LA MUESTRA","5103.29","1","RENTA",""
"2018","07","17/08/2018 12:00:00 a. m.","01","Área Met. de la Cd. de México"," 3. Vivienda"," 3.1. Costo de uso de vivienda"," 3.1.1. Costo de uso de vivienda"," 41 Vivienda alquilada","158","Renta de vivienda","006"," PRECIO PROMEDIO DE LA MUESTRA","5103.29","1","RENTA",""
"2018","07","17/08/2018 12:00:00 a. m.","01","Área Met. de la Cd. de México"," 3. Vivienda"," 3.1. Costo de uso de vivienda"," 3.1.1. Costo de uso de vivienda"," 41 Vivienda alquilada","158","Renta de vivienda","007"," PRECIO PROMEDIO DE LA MUESTRA","5103.29","1","RENTA",""
"2018","07","17/08/2018 12:00:00 a. m.","01","Área Met. de la Cd. de México"," 3. Vivienda"," 3.1. Costo de uso de vivienda"," 3.1.1. Costo de uso de vivienda"," 41 Vivienda alquilada","158","Renta de vivienda","008"," PRECIO PROMEDIO DE LA MUESTRA","5103.29","1","RENTA",""
"2018","07","17/08/2018 12:00:00 a. m.","01","Área Met. de la Cd. de México"," 3. Vivienda"," 3.1. Costo de uso de vivienda"," 3.1.1. Costo de uso de vivienda"," 41 Vivienda alquilada","158","Renta de vivienda","009"," PRECIO PROMEDIO DE LA MUESTRA","5103.29","1","RENTA",""
"2018","07","17/08/2018 12:00:00 a. m.","01","Área Met. de la Cd. de México"," 3. Vivienda"," 3.1. Costo de uso de vivienda"," 3.1.1. Costo de uso de vivienda"," 41 Vivienda alquilada","158","Renta de vivienda","010"," PRECIO PROMEDIO DE LA MUESTRA","5103.29","1","RENTA",""
"2018","07","17/08/2018 12:00:00 a. m.","01","Área Met. de la Cd. de México"," 3. Vivienda"," 3.1. Costo de uso de vivienda"," 3.1.1. Costo de uso de vivienda"," 41 Vivienda alquilada","158","Renta de vivienda","011"," PRECIO PROMEDIO DE LA MUESTRA","5103.29","1","RENTA",""
"2018","07","17/08/2018 12:00:00 a. m.","01","Área Met. de la Cd. de México"," 3. Vivienda"," 3.1. Costo de uso de vivienda"," 3.1.1. Costo de uso de vivienda"," 41 Vivienda alquilada","158","Renta de vivienda","012"," PRECIO PROMEDIO DE LA MUESTRA","5103.29","1","RENTA",""
"2018","07","17/08/2018 12:00:00 a. m.","01","Área Met. de la Cd. de México"," 3. Vivienda"," 3.1. Costo de uso de vivienda"," 3.1.1. Costo de uso de vivienda"," 41 Vivienda alquilada","158","Renta de vivienda","013"," PRECIO PROMEDIO DE LA MUESTRA","5103.29","1","RENTA",""
"2018","07","17/08/2018 12:00:00 a. m.","01","Área Met. de la Cd. de México"," 3. Vivienda"," 3.1. Costo de uso de vivienda"," 3.1.1. Costo de uso de vivienda"," 41 Vivienda alquilada","158","Renta de vivienda","014"," PRECIO PROMEDIO DE LA MUESTRA","5103.29","1","RENTA",""
