Descriptores,"Personal no remunerado por sectores de actividad económica seleccionados, según sexo, 2013 y  2018|2013|Total<C1,P>","Personal no remunerado por sectores de actividad económica seleccionados, según sexo, 2013 y  2018|2013|Hombres<C1,P>","Personal no remunerado por sectores de actividad económica seleccionados, según sexo, 2013 y  2018|2013|Mujeres<C1,P>","Personal no remunerado por sectores de actividad económica seleccionados, según sexo, 2013 y  2018|2018|Total<C1,P>","Personal no remunerado por sectores de actividad económica seleccionados, según sexo, 2013 y  2018|2018|Hombres<C1,P>","Personal no remunerado por sectores de actividad económica seleccionados, según sexo, 2013 y  2018|2018|Mujeres<C1,P>"
Puestos de trabajo|Total,2955957,2347404,608553,2606436,1992287,614149
"Puestos de trabajo|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2929294,2329000,600294,2582086,1973034,609052
Puestos de trabajo|Industrias manufactureras,3221,1660,1561,1610,916,694
Puestos de trabajo|Comercio al por mayor,1168,976,192,1098,837,261
Puestos de trabajo|Comercio al por menor,2909,1433,1476,1656,1088,568
"Puestos de trabajo|Transportes, correos y almacenamiento",11094,9881,1213,11441,10814,627
Puestos de trabajo|Servicios financieros y de seguros,632,343,289,332,175,157
"Puestos de trabajo|Servicios profesionales, científicos y técnicos",312,229,83,302,208,94
"Puestos de trabajo|Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",173,94,79,155,121,34
"Puestos de trabajo|Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",434,312,122,1086,852,234
Puestos de trabajo|Servicios de alojamiento temporal y de preparación de alimentos y bebidas,3136,924,2212,1194,437,757
Puestos de trabajo|Otros<C2>,3584,2552,1032,5476,3805,1671
Participación porcentual|Total,99.99999999999999,79.41265109865039,20.587348901349603,100,76.43721813461217,23.56278186538784
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",100,79.50720615291752,20.492793847082474,100.00000000000001,76.41241115669489,23.587588843305124
Participación porcentual|Industrias manufactureras,100,51.536789816827074,48.463210183172926,100,56.8944099378882,43.1055900621118
Participación porcentual|Comercio al por mayor,100,83.56164383561644,16.438356164383563,100,76.22950819672131,23.770491803278688
Participación porcentual|Comercio al por menor,100,49.260914403575114,50.739085596424886,100,65.70048309178743,34.29951690821256
"Participación porcentual|Transportes, correos y almacenamiento",100,89.06616188930954,10.933838110690463,100,94.51970981557557,5.4802901844244385
Participación porcentual|Servicios financieros y de seguros,100,54.27215189873418,45.72784810126582,100,52.71084337349398,47.28915662650602
"Participación porcentual|Servicios profesionales, científicos y técnicos",100,73.3974358974359,26.602564102564102,100,68.87417218543047,31.125827814569536
"Participación porcentual|Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",100,54.335260115606935,45.664739884393065,100,78.06451612903226,21.93548387096774
"Participación porcentual|Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",100,71.88940092165899,28.110599078341014,100,78.45303867403315,21.54696132596685
Participación porcentual|Servicios de alojamiento temporal y de preparación de alimentos y bebidas,100,29.464285714285715,70.53571428571429,100,36.59966499162479,63.40033500837521
Participación porcentual|Otros<C2>,100,71.20535714285714,28.794642857142858,100,69.48502556610664,30.514974433893354
