Descriptores,2013|Valor bruto de la producción<P>,2013|Consumo intermedio<P>,2013|Producto interno bruto<P>,2018|Valor bruto de la producción<P>,2018|Consumo intermedio<P>,2018|Producto interno bruto<P>
Millones de pesos a precios de 2013|Total,312848.645,106248.344,206600.3,396838.671,127609.536,269229.135
"Millones de pesos a precios de 2013|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",225401.167,70574.231,154826.935,300357.8,98323.44,202034.359
"Millones de pesos a precios de 2013|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo de semillas oleaginosas, leguminosas y cereales",55960.676,14364.194,41596.482,72369.898,18149.713,54220.186
"Millones de pesos a precios de 2013|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo de hortalizas",14268.505,3829.721,10438.785,25091.055,7060.145,18030.911
"Millones de pesos a precios de 2013|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo de frutales y nueces",31797.596,7538.585,24259.011,36022.577,8566.67,27455.907
"Millones de pesos a precios de 2013|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo en invernaderos y viveros, y floricultura",5477.131,1224.121,4253.009,14784.138,3218.139,11566
"Millones de pesos a precios de 2013|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Otros cultivos",33199.511,8052.651,25146.861,39892.433,9763.533,30128.9
"Millones de pesos a precios de 2013|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Explotación de bovinos",45363.152,21252.809,24110.343,47615.288,22250.175,25365.113
"Millones de pesos a precios de 2013|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Explotación avícola",6330.2,3726.244,2603.956,11796.294,6856.001,4940.293
"Millones de pesos a precios de 2013|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Otros<C1>",33004.395,10585.905,22418.489,52786.116,22459.065,30327.051
Millones de pesos a precios de 2013|Minería,353.438,155.419,198.019,570.523,304.291,266.232
"Millones de pesos a precios de 2013|Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final",27.959,17.547,10.412,23.73,19.255,4.475
Millones de pesos a precios de 2013|Construcción,95.619,54.312,41.307,108.039,60.76,47.279
Millones de pesos a precios de 2013|Industrias manufactureras,22592.522,16144.59,6447.932,18641.437,11519.24,7122.197
Millones de pesos a precios de 2013|Comercio al por mayor,9586.376,5719.373,3867.003,4814.491,1965.274,2849.217
Millones de pesos a precios de 2013|Comercio al por menor,889.275,229.71,659.566,1217.484,365.295,852.189
"Millones de pesos a precios de 2013|Transportes, correos y almacenamiento",7927.772,5034.688,2893.084,10806.836,6230.549,4576.287
Millones de pesos a precios de 2013|Información en medios masivos,59.333,31.929,27.404,26.569,7.127,19.441
Millones de pesos a precios de 2013|Servicios financieros y de seguros,40878.045,6238.028,34640.017,54459.758,6333.675,48126.083
Millones de pesos a precios de 2013|Servicios financieros y de seguros|Uniones de crédito e instituciones de ahorro,40582.745,6086.148,34496.597,54015.229,6165.268,47849.961
Millones de pesos a precios de 2013|Servicios financieros y de seguros|Otras instituciones de intermediación crediticia y financiera no bursátil,22.982,15.537,7.445,97.782,40.555,57.226
Millones de pesos a precios de 2013|Servicios financieros y de seguros|Instituciones de seguros y fianzas,263.552,130.628,132.924,262.076,68.666,193.41
Millones de pesos a precios de 2013|Servicios financieros y de seguros|Servicios relacionados con los seguros y las fianzas,8.766,5.715,3.051,84.671,59.185,25.486
Millones de pesos a precios de 2013|Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,213.311,128.629,84.682,136.007,41.381,94.626
"Millones de pesos a precios de 2013|Servicios profesionales, científicos y técnicos",518.86,86.156,432.703,695.358,285.437,409.921
"Millones de pesos a precios de 2013|Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",1122.166,370.691,751.474,1031.981,377.619,654.362
Millones de pesos a precios de 2013|Servicios educativos,435.539,93.024,342.515,256.305,67.748,188.556
Millones de pesos a precios de 2013|Servicios de salud y de asistencia social,209.303,119.01,90.293,451.263,199.441,251.822
"Millones de pesos a precios de 2013|Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",1468.026,621.816,846.21,1620.409,800.339,820.07
Millones de pesos a precios de 2013|Servicios de alojamiento temporal y de preparación de alimentos y bebidas,516.473,263.03,253.443,409.009,192.051,216.959
Millones de pesos a precios de 2013|Otros servicios excepto actividades gubernamentales,553.462,366.161,187.301,1211.673,516.612,695.06
Participación porcentual|Total,100,100,99.99999999999999,100.00000025199158,99.99999843271901,100
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",72.047992051375,66.42384096699612,74.94032444257886,75.68763377901747,77.05022922424858,75.04178884651543
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo de semillas oleaginosas, leguminosas y cereales",24.827145727931534,20.353313238081544,26.866437456376,24.09456255172997,18.45919243671702,26.837111404402258
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo de hortalizas",6.330271318931455,5.426513971794542,6.742227932577272,8.353721794473126,7.180530909008066,8.924675530066645
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo de frutales y nueces",14.107112389907007,10.681781530367655,15.66846921426106,11.993221750858476,8.712744387299711,13.58972163739733
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo en invernaderos y viveros, y floricultura",2.429947735063782,1.7345159885939283,2.7469440042560644,4.922175485371114,3.273013027208975,5.724768825088806
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Otros cultivos",14.729076912625047,11.410185433184603,16.241915839201543,13.28163710081776,9.930015670729176,14.912760457739765
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Explotación de bovinos",20.12551804407797,30.11412098305727,15.572447405338075,15.852855494347077,22.629573375382307,12.554851128069759
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Explotación avícola",2.8084151382989604,5.279893792978299,1.6818494948714757,3.9274139043500784,6.972905952029343,2.4452736774342427
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Otros<C1>",14.642512733164255,14.999675061942161,14.479708653118525,17.574411585116152,22.84202525867687,15.010838329731827
Participación porcentual|Minería,0.11297408699549819,0.14627902676873794,0.09584635435673794,0.14376698686202385,0.23845474996476757,0.09888677167127548
"Participación porcentual|Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final",0.00893690942116602,0.016514779703718157,0.005039837783911596,0.005979759971527573,0.015088997737598545,NS
Participación porcentual|Construcción,0.03056398089854693,0.05111818387176344,0.019993570156926863,0.027224917301469347,0.047613996496312004,0.01756087802310103
Participación porcentual|Industrias manufactureras,7.221550222609998,15.195144691924524,3.1209694928394227,4.6974849888054395,9.026942939436752,2.6454035147421915
Participación porcentual|Comercio al por mayor,3.0642217251415347,5.3830228696563935,1.8717317727167284,1.2132111489709128,1.54006829082115,1.0582870238022344
Participación porcentual|Comercio al por menor,0.28425093589838263,0.21620057010034938,0.31924720009505464,0.3067957054014023,0.2862599547419403,0.31652926418977645
"Participación porcentual|Transportes, correos y almacenamiento",2.5340598794096088,4.7386041610043135,1.4003288082067507,2.723231577398363,4.882510504544112,1.6997740604856901
Participación porcentual|Información en medios masivos,0.018965405928969923,0.030050981672179563,0.01326442647159285,0.006695164040603291,0.005585005810224089,0.007220986688532056
Participación porcentual|Servicios financieros y de seguros,13.066396705152135,5.87117655818144,16.76668284268647,13.723399955645958,4.963324214265618,17.875510761493178
Participación porcentual|Servicios financieros y de seguros|Uniones de crédito e instituciones de ahorro,99.27760733175963,97.56526320779108,99.5859689112747,99.1837477500359,97.34108554670077,99.42625291154488
Participación porcentual|Servicios financieros y de seguros|Otras instituciones de intermediación crediticia y financiera no bursátil,0.05622088825431841,0.24906910146796649,0.021492483606658508,0.17954909017406942,0.6403075623551887,0.11890849292679813
Participación porcentual|Servicios financieros y de seguros|Instituciones de seguros y fianzas,0.6447275059264698,2.0940521977314077,0.3837308727500688,0.4812287267233174,1.084141513418355,0.401881865183169
Participación porcentual|Servicios financieros y de seguros|Servicios relacionados con los seguros y las fianzas,0.021444274059583816,0.09161549300955323,0.008807732368558108,0.15547443306670589,0.9344495889037565,0.05295673034516439
Participación porcentual|Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.06818336242563766,0.12106460396181304,0.04098812433771099,0.03427261754941217,0.032427827337292416,0.03514701334237099
"Participación porcentual|Servicios profesionales, científicos y técnicos",0.16585000728965596,0.08108941044454991,0.20943984263988205,0.17522435458413277,0.22367999206579672,0.1522572956303559
"Participación porcentual|Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",0.35869281171531237,0.3488913624415434,0.36373340340460814,0.26005051307109134,0.29591754020639965,0.24305021817196715
Participación porcentual|Servicios educativos,0.13921722961327881,0.08755383117999592,0.16578616748254957,0.06458669951548145,0.05309007627768508,0.07003551082983646
Participación porcentual|Servicios de salud y de asistencia social,0.06690231956000971,0.1120109802971795,0.04370428689400952,0.11371447214628938,0.15629004402931143,0.09353445346841827
"Participación porcentual|Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.46924477181473645,0.585247803087941,0.4095878885277227,0.40832940900560577,0.6271780503927231,0.304599277489043
Participación porcentual|Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.16508703770656077,0.24756146717657115,0.12267290973892399,0.10306682032003883,0.1504989407688153,0.08058526058110316
Participación porcentual|Otros servicios excepto actividades gubernamentales,0.17691055704395817,0.3446277515308572,0.09065862908212827,0.3053313823843544,0.4048380835739423,0.2581667099290721
Distribución porcentual|Total,100,33.96158049852786,66.03841950147213,100,32.15652740657425,67.84347259342576
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",100,31.310499540548953,68.68950045945105,99.99999966706375,32.73543753483346,67.2645621322303
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo de semillas oleaginosas, leguminosas y cereales",99.99999999999999,25.668371699798097,74.3316283002019,100.00000138178999,25.079091585841397,74.92090979594859
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo de hortalizas",100,26.840376132461827,73.15962386753822,100.00000398548407,28.138095428829118,71.86190855665495
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo de frutales y nueces",100,23.708035099947583,76.29196490005242,100.00000000000001,23.781391320226756,76.21860867977325
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo en invernaderos y viveros, y floricultura",100,22.349683197000733,77.65031680299928,100.00000676400613,21.767511910400188,78.23249485360594
