Descriptores,Personal remunerado|2013|Total<P>,Personal remunerado|2013|Hombres<P>,Personal remunerado|2013|Mujeres<P>,Personal remunerado|2018|Total<P>,Personal remunerado|2018|Hombres<P>,Personal remunerado|2018|Mujeres<P>
Puestos de trabajo|Total,1191582,1038351,153231,1734422,1517894,216528
"Puestos de trabajo|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",1109166,982854,126312,1635516,1450512,185004
Puestos de trabajo|Industrias manufactureras,13155,10029,3126,11797,8201,3596
Puestos de trabajo|Comercio al por mayor,6212,4442,1770,7737,5674,2063
Puestos de trabajo|Comercio al por menor,4078,2310,1768,4890,2869,2021
"Puestos de trabajo|Transportes, correos y almacenamiento",18799,17317,1482,27194,25205,1989
Puestos de trabajo|Servicios financieros y de seguros,23167,10847,12320,28979,13881,15098
"Puestos de trabajo|Servicios profesionales, científicos y técnicos",1200,771,429,2084,1178,906
"Puestos de trabajo|Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",3964,2647,1317,3938,2725,1213
"Puestos de trabajo|Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",1793,1252,541,1047,721,326
Puestos de trabajo|Servicios de alojamiento temporal y de preparación de alimentos y bebidas,2507,1013,1494,2688,1385,1303
Puestos de trabajo|Otros<C1>,7541,4869,2672,8552,5543,3009
Participación porcentual|Total,100,87.14052260543043,12.859477394569568,100,87.51585034648674,12.48414965351326
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",100,88.61196465523034,11.388035344769664,100,88.6883507692536,11.311649230746395
Participación porcentual|Industrias manufactureras,100,76.23717217787913,23.762827822120865,100,69.51767398491141,30.48232601508858
Participación porcentual|Comercio al por mayor,100,71.5067611075338,28.493238892466195,100,73.33591831459222,26.66408168540778
Participación porcentual|Comercio al por menor,100,56.645414418832765,43.354585581167235,100,58.670756646216766,41.329243353783234
"Participación porcentual|Transportes, correos y almacenamiento",100,92.11660194691207,7.88339805308793,100,92.68588659263072,7.314113407369272
Participación porcentual|Servicios financieros y de seguros,100,46.82090905166832,53.17909094833168,100,47.90020359570724,52.09979640429276
"Participación porcentual|Servicios profesionales, científicos y técnicos",100,64.25,35.75,100,56.52591170825336,43.47408829174664
"Participación porcentual|Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",100,66.77598385469223,33.22401614530777,100,69.19756221432199,30.80243778567801
"Participación porcentual|Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",100,69.8271054099275,30.172894590072506,100,68.86341929321873,31.13658070678128
Participación porcentual|Servicios de alojamiento temporal y de preparación de alimentos y bebidas,100,40.406860789788595,59.593139210211405,100,51.52529761904762,48.47470238095238
Participación porcentual|Otros<C1>,100,64.56703354992706,35.43296645007293,100,64.81524789522919,35.184752104770816
