Descriptores,2013|Valor bruto de la producción<P>,2013|Consumo intermedio<P>,2013|Producto interno bruto|Total<P>,"2013|Producto interno bruto|Remuneraciones<C1,P>",2013|Producto interno bruto|Excedente bruto de operación<P>,2013|Producto interno bruto|Impuestos netos de subsidios sobre la producción<P>,2018|Valor bruto de la producción<P>,2018|Consumo intermedio<P>,2018|Producto interno bruto|Total<P>,"2018|Producto interno bruto|Remuneraciones<C1,P>",2018|Producto interno bruto|Excedente bruto de operación<P>,2018|Producto interno bruto|Impuestos netos de subsidios sobre la producción<P>
Millones de pesos a precios corrientes|Total,312848.645,106248.344,206600.3,44521.868,162142.585,-64.153,525218.671,170512.857,354705.814,82976.807,271844.837,-115.83
"Millones de pesos a precios corrientes|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",225401.167,70574.231,154826.935,36666.999,118337.731,-177.794,404945.575,133338.459,271607.115,72283.094,199578.346,-254.325
"Millones de pesos a precios corrientes|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Agricultura",140703.419,35009.272,105694.147,25351.255,80339.783,3.109,248511.533,61287.674,187223.859,49770.479,137447.995,5.385
"Millones de pesos a precios corrientes|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cría y explotación de animales",61740.252,29439.904,32300.349,8561.429,23751.758,-12.838,122387.808,60517.179,61870.629,17931.453,44007.927,-68.751
"Millones de pesos a precios corrientes|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Aprovechamiento forestal",16837.08,3889.87,12947.21,1488.365,11458.464,NS,22763.113,5309.254,17453.86,2391.501,15061.857,0.503
"Millones de pesos a precios corrientes|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Pesca, caza y captura",5987.702,2161.837,3825.865,1233.801,2760.51,-168.446,9693.17,5350.144,4343.026,1977.684,2562.928,-197.586
"Millones de pesos a precios corrientes|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Servicios relacionados con las actividades agropecuarias y forestales",132.713,73.348,59.365,32.149,27.216,0,1589.951,874.209,715.742,211.978,497.639,6.125
Millones de pesos a precios corrientes|Industrias manufactureras,22592.522,16144.59,6447.932,1665.906,4758.744,23.282,25102.247,15312.863,9789.384,1565.847,8165.307,58.23
Millones de pesos a precios corrientes|Comercio al por mayor,9586.376,5719.373,3867.003,554.726,3287.363,24.914,6682.514,2507.689,4174.824,760.673,3396.327,17.824
Millones de pesos a precios corrientes|Comercio al por menor,889.275,229.71,659.566,220.737,436.462,2.367,1588.817,467.578,1121.239,321.462,793.317,6.46
"Millones de pesos a precios corrientes|Transportes, correos y almacenamiento",7927.772,5034.688,2893.084,1227.345,1625.493,40.246,12234.713,7059.154,5175.559,1955.303,3201.085,19.171
Millones de pesos a precios corrientes|Servicios financieros y de seguros,40878.045,6238.028,34640.017,2195.616,32444.381,NS,66484.167,8270.251,58213.916,3828.399,54385.517,0
Millones de pesos a precios corrientes|Servicios financieros y de seguros|Instituciones de intermediación crediticia y financiera no bursátil,40605.727,6101.685,34504.042,2147.026,32357.016,0,66110.432,8105.153,58005.279,3748.485,54256.794,0
"Millones de pesos a precios corrientes|Servicios financieros y de seguros|Compañías de fianzas, seguros y pensiones",272.318,136.343,135.975,48.59,87.365,NS,373.735,165.099,208.637,79.914,128.723,0
