Descriptores,"Personal dependiente de la razón social por sectores de actividad económica seleccionados, según sexo, 2013 y 2018|2013|Total<C1,P>","Personal dependiente de la razón social por sectores de actividad económica seleccionados, según sexo, 2013 y 2018|2013|Hombres<C1,P>","Personal dependiente de la razón social por sectores de actividad económica seleccionados, según sexo, 2013 y 2018|2013|Mujeres<C1,P>","Personal dependiente de la razón social por sectores de actividad económica seleccionados, según sexo, 2013 y 2018|2018|Total<C1,P>","Personal dependiente de la razón social por sectores de actividad económica seleccionados, según sexo, 2013 y 2018|2018|Hombres<C1,P>","Personal dependiente de la razón social por sectores de actividad económica seleccionados, según sexo, 2013 y 2018|2018|Mujeres<C1,P>"
Puestos de trabajo|Total,4147539,3385755,761784,4340858,3510181,830677
"Puestos de trabajo|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",4038460,3311854,726606,4217602,3423546,794056
Puestos de trabajo|Industrias manufactureras,16376,11689,4687,13407,9117,4290
Puestos de trabajo|Comercio al por mayor,7380,5418,1962,8835,6511,2324
Puestos de trabajo|Comercio al por menor,6987,3743,3244,6546,3957,2589
"Puestos de trabajo|Transportes, correos y almacenamiento",29893,27198,2695,38635,36019,2616
Puestos de trabajo|Servicios financieros y de seguros,23799,11190,12609,29311,14056,15255
"Puestos de trabajo|Servicios profesionales, científicos y técnicos",1512,1000,512,2386,1386,1000
"Puestos de trabajo|Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",4137,2741,1396,4093,2846,1247
"Puestos de trabajo|Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",2227,1564,663,2133,1573,560
Puestos de trabajo|Servicios de alojamiento temporal y de preparación de alimentos y bebidas,5643,1937,3706,3882,1822,2060
Puestos de trabajo|Otros<C2>,11125,7421,3704,14028,9348,4680
Participación porcentual|Total,100,81.63285753249747,18.367142467502536,100,80.86376760836815,19.136232391631857
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",100.00000000000001,82.00783479099556,17.99216520900445,100,81.17281640505288,18.827183594947122
Participación porcentual|Industrias manufactureras,100,71.37884709330729,28.62115290669272,100,68.00179010964422,31.998209890355785
Participación porcentual|Comercio al por mayor,100,73.41463414634147,26.585365853658537,100,73.69552914544425,26.304470854555746
Participación porcentual|Comercio al por menor,100,53.570917418062116,46.429082581937884,100,60.44912923923006,39.55087076076994
"Participación porcentual|Transportes, correos y almacenamiento",100,90.98451142407922,9.015488575920784,100,93.22893749191148,6.771062508088521
Participación porcentual|Servicios financieros y de seguros,100,47.018782301777385,52.981217698222615,100,47.95469277745556,52.04530722254444
"Participación porcentual|Servicios profesionales, científicos y técnicos",100,66.13756613756614,33.86243386243386,100,58.088851634534784,41.911148365465216
"Participación porcentual|Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",100,66.25574087503021,33.74425912496979,100,69.53334962130467,30.466650378695334
"Participación porcentual|Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",100,70.22900763358778,29.770992366412212,100,73.74589779653071,26.25410220346929
Participación porcentual|Servicios de alojamiento temporal y de preparación de alimentos y bebidas,100,34.325713273081696,65.67428672691831,100,46.93456980937661,53.06543019062339
Participación porcentual|Otros<C2>,100,66.70561797752809,33.29438202247191,100,66.63815226689478,33.361847733105215
