Descriptores,"Personal ocupado|2013|Total<C1,P>","Personal ocupado|2013|Hombres<C1,P>","Personal ocupado|2013|Mujeres<C1,P>","Personal ocupado|2018|Total<C1,P>","Personal ocupado|2018|Hombres<C1,P>","Personal ocupado|2018|Mujeres<C1,P>"
Puestos de trabajo|Total,4164548,3399796,764752,4358131,3523311,834820
"Puestos de trabajo|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",4038926,3312269,726657,4218677,3424325,794352
Puestos de trabajo|Industrias manufactureras,21565,15755,5810,17930,12757,5173
Puestos de trabajo|Comercio al por mayor,11674,9202,2472,12904,9986,2918
Puestos de trabajo|Comercio al por menor,7271,3903,3368,6917,4215,2702
"Puestos de trabajo|Transportes, correos y almacenamiento",33617,30804,2813,41253,38477,2776
Puestos de trabajo|Servicios financieros y de seguros,24604,11636,12968,31956,15245,16711
"Puestos de trabajo|Servicios profesionales, científicos y técnicos",1693,1107,586,2782,1605,1177
"Puestos de trabajo|Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",4256,2835,1421,4363,3087,1276
"Puestos de trabajo|Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",2503,1756,747,2371,1780,591
Puestos de trabajo|Servicios de alojamiento temporal y de preparación de alimentos y bebidas,5892,2048,3844,4011,1912,2099
Puestos de trabajo|Otros<C2>,12547,8481,4066,14967,9922,5045
Participación porcentual|Total,100,81.63660946225001,18.36339053775,100.00000000000001,80.84452983877743,19.155470161222578
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",100,82.00865241943313,17.991347580566874,100,81.17057827441128,18.829421725588723
Participación porcentual|Industrias manufactureras,100,73.05819615117088,26.94180384882912,100,71.148912437256,28.851087562744006
Participación porcentual|Comercio al por mayor,100,78.82473873565188,21.175261264348123,100,77.38685678859268,22.613143211407316
Participación porcentual|Comercio al por menor,100,53.67899876220602,46.32100123779398,100,60.93682232181582,39.06317767818418
"Participación porcentual|Transportes, correos y almacenamiento",100,91.63220989380373,8.367790106196269,100,93.27079242721742,6.7292075727825855
Participación porcentual|Servicios financieros y de seguros,100,47.29312306941961,52.70687693058039,100,47.70622105394918,52.29377894605082
"Participación porcentual|Servicios profesionales, científicos y técnicos",100,65.38688718251625,34.61311281748376,100,57.69230769230769,42.30769230769231
"Participación porcentual|Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",100,66.61184210526316,33.38815789473684,100,70.75406830162733,29.24593169837268
"Participación porcentual|Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",100,70.15581302437076,29.844186975629245,100,75.07380851961197,24.92619148038802
Participación porcentual|Servicios de alojamiento temporal y de preparación de alimentos y bebidas,100,34.75899524779362,65.24100475220638,100,47.668910496135624,52.331089503864376
Participación porcentual|Otros<C2>,100,67.59384713477326,32.406152865226744,100,66.29251018908265,33.70748981091735
