Descriptores,Producto interno bruto|Economía Social|2013|Millones de pesos a precios de 2013<P>,Producto interno bruto|Economía Social|2018|Millones de pesos a precios de 2013<P>,Producto interno bruto|Economía Nacional|2013|Millones de pesos a precios de 2013<P>,Producto interno bruto|Economía Nacional|2018|Millones de pesos a precios de 2013<P>,Producto interno bruto|Total|2013|Participación porcentual<P>,Producto interno bruto|Total|2018|Participación porcentual<P>
Total,206600.3,269229.135,15642619.845,17701264.596,1.3207525492703927,1.5209598926668686
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",154826.935,202034.359,510905.694,594040.625,30.30440592442342,34.0101923163925
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo de semillas oleaginosas, leguminosas y cereales",41596.482,54220.186,108472.57,113989.802,38.34746587553596,47.565821721490494
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo de hortalizas",10438.785,18030.911,50139.905,64223.582,20.819315245497393,28.075218538884982
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo de frutales y nueces",24259.011,27455.907,70005.314,85578.161,34.65309891853464,32.082842958029914
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo en invernaderos y viveros, y floricultura",4253.009,11566,22496.753,36733.097,18.90499139571112,31.48659096182388
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Otros cultivos",25146.861,30128.9,62466.341,74529.85,40.25665685173584,40.425279267300276
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Explotación de bovinos",24110.343,25365.113,79247.46,81807.149,30.424120955522042,31.005985797158143
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Explotación avícola",2603.956,4940.293,62928.508,67530.875,4.137959271118494,7.315606380044683
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Otros<C1>",22418.489,30327.051,55148.843,69648.109,40.65087850089802,43.54325111683937
Industrias manufactureras,6447.932,7122.197,2576975.603,2933055.868,0.25021317001713184,0.2428251393948559
Comercio al por mayor,3867.003,2849.217,1286997.05,1579841.955,0.30046715838678045,0.18034822983290122
Comercio al por menor,659.566,852.189,1455207.044,1670260.768,0.04532452457925298,0.05102131453524029
"Transportes, correos y almacenamiento",2893.084,4576.287,1011495.685,1201528.859,0.28602035252379754,0.38087200034535335
Servicios financieros y de seguros,34640.017,48126.083,567237.525,881892.969,6.106792232407403,5.457134220558685
Servicios financieros y de seguros|Uniones de crédito e instituciones de ahorro,34496.597,47849.961,37343.263,56112.758,92.37702842410957,85.27465536447167
Servicios financieros y de seguros|Otros<C2>,143.42,276.122,529894.262,825780.211,0.027065860169665317,0.03343771094558235
"Servicios profesionales, científicos y técnicos",432.703,409.921,311660.611,348761.396,0.13883799515492828,0.11753623098813379
"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",751.474,654.362,577080.718,664726.113,0.13021996413333636,0.09844084461294511
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",846.21,820.07,73364.614,78023.563,1.1534304644470699,1.0510542821532005
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,253.443,216.959,344770.832,405695.18,0.07351045287961018,0.05347832823648534
Servicios de alojamiento temporal y de preparación de alimentos y bebidas|Otros<C3>,981.933,1567.491,6926924.469,7343437.3,0.014175595494477158,0.021345467196948763
